Designator,Mid X,Mid Y,Rotation,Layer
BT301,208.899,-114.0,0.0,bottom
C1001,139.45,-80.8,90.0,bottom
C1002,145.64,-80.8,90.0,bottom
C1003,150.2,-82.4,180.0,bottom
C1004,148.55,-87.0,270.0,bottom
C1005,150.2,-94.8,180.0,bottom
C1006,142.36,-93.2,270.0,bottom
C1007,136.17,-93.2,270.0,bottom
C1008,139.4,-87.0,90.0,bottom
C1009,144.0,-88.6,180.0,bottom
C201,103.0,-129.4,180.0,bottom
C202,95.825,-122.75,180.0,bottom
C203,95.8475,-120.0,0.0,bottom
C204,90.0,-128.47,180.0,bottom
C301,185.5,-140.2955,90.0,bottom
C302,182.65,-140.55,270.0,bottom
C303,180.75,-144.75,180.0,bottom
C304,179.5,-134.25,180.0,bottom
C401,97.435,-105.1475,0.0,bottom
C501,144.225,-113.75,0.0,bottom
C502,145.0,-106.8,0.0,bottom
C601,132.5,-143.75,270.0,bottom
C602,150.5,-143.75,90.0,bottom
D1001,125.42,-87.0,270.0,top
D1002,114.63,-81.32,270.0,top
D1003,102.91,-73.69,270.0,top
D1004,91.91,-64.17,270.0,top
D1005,83.38,-53.14,270.0,top
D1006,79.0,-41.43,270.0,top
D1007,80.14,-30.6,180.0,top
D1008,87.66,-23.12,180.0,top
D1009,98.5,-22.0,180.0,top
D1010,110.23,-26.44,90.0,top
D1011,121.27,-34.91,90.0,top
D1012,130.79,-46.04,90.0,top
D1013,138.42,-57.79,90.0,top
D1014,144.0,-68.42,180.0,top
D1015,149.68,-57.63,270.0,top
D1016,157.31,-45.91,180.0,top
D1017,166.83,-34.91,180.0,top
D1018,177.86,-26.38,180.0,top
D1019,189.57,-22.0,180.0,top
D1020,200.4,-23.14,90.0,top
D1021,207.88,-30.66,90.0,top
D1022,208.99,-41.51,90.0,top
D1023,204.56,-53.23,0.0,top
D1024,196.09,-64.27,0.0,top
D1025,184.96,-73.79,0.0,top
D1026,173.21,-81.42,0.0,top
D1027,162.58,-87.0,90.0,top
D1028,173.37,-92.68,90.0,top
D1029,185.09,-100.31,90.0,top
D1030,196.09,-109.83,90.0,top
D1031,204.62,-120.86,90.0,top
D1032,209.0,-132.57,90.0,top
D1033,207.86,-143.4,0.0,top
D1034,200.34,-150.88,0.0,top
D1035,189.49,-151.99,270.0,top
D1036,177.77,-147.5,270.0,top
D1037,166.73,-139.0,270.0,top
